,label,start_time,end_time,utterance,DA_type,niteType
1,sw2001A-ms98-a-0002,0.977625,11.561375,hi um yeah i'd like to talk about how you dress for work and and um what do you normally what type of outfit do you normally have to wear ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
3,sw2001A-ms98-a-0004,19.804875,21.312375,um-hum ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
5,sw2001A-ms98-a-0006,27.362,28.93275,and is ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
7,sw2001A-ms98-a-0008,33.89825,40.12325,right right is there is there um an[y]- is there a like a code of dress where you work do they ask ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
8,sw2001A-ms98-a-0009,40.12325,41.552625,right ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
10,sw2001A-ms98-a-0011,50.1295,51.5675,[noise] right ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
12,sw2001A-ms98-a-0013,56.957,65.593625,right right and does it does it change i guess um you can can you judge like [noise] depending on what you think you'll be doing that day ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
14,sw2001A-ms98-a-0015,69.59525,71.102875,right ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
16,sw2001A-ms98-a-0017,73.321625,75.4105,yes [laughter] ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
18,sw2001A-ms98-a-0019,76.424125,80.037375,yeah yeah well i[t]- i[t]- that's right and it ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
20,sw2001A-ms98-a-0021,81.428875,92.094125,yeah and it was usually uh also uh where i was it was um i[n]- in engineering and and it was it was a casual office there was no formal dress code but [noise] ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
21,sw2001A-ms98-a-0022,92.094125,105.06875,um uh usually engineers are expected to to dress you know little more professionally it just in case things would come up during the day sometimes unexpected meetings or a client would come in and wanna see you [noise] ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
22,sw2001A-ms98-a-0023,105.06875,112.05175,uh other times it could be very casual if you knew you would be at a desk [laughter-all] day and nobody would see you [noise] um ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
23,sw2001A-ms98-a-0024,112.05175,126.36225,uh well i was i was in a uh private consulting firm so um and uh and uh anyway um right now i['m]- i'm not i'm not there but [laughter] but anyway ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
24,sw2001A-ms98-a-0025,126.36225,137.461,um and seaso[n]- really same season to season um uh it changes with the weather you know uh wear light clothing i guess if it's hot out but um ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
