,label,start_time,end_time,utterance,DA_type,niteType
26,sw2001A-ms98-a-0027,139.11625,140.92875,that's ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
27,sw2001A-ms98-a-0028,140.92875,153.333375,that's true and and i think also that um the women actually have uh uh you have a little bit more variety m[aybe]- maybe lighter cotton clothing in the summer and woolens in the winter whereas the ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
28,sw2001A-ms98-a-0029,153.333375,162.04225,the men often have to wear shirt and [laughter-tie] [laughter-no] [laughter-matter] r[ight]- right right what time of what time of the year that's right ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
29,sw2001A-ms98-a-0030,162.04225,176.97825,[laughter-that's] that's true so um do they were were there um are you allowed to um be casual like if it was summer were were you allowed to wear sandals and those tha[t]- [noise] not reall[y]- ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
31,sw2001A-ms98-a-0032,179.95725,181.491375,right ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
33,sw2001A-ms98-a-0034,187.319375,189.502875,oh i see uh-huh ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
35,sw2001A-ms98-a-0036,192.647375,195.09975,okay and and ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
36,sw2001A-ms98-a-0037,195.09975,205.8885,and also like the um also the the all the supporting kind of stuff secretaries and clerks and things are they also they have same similar sim[ilar]- yeah ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
37,sw2001A-ms98-a-0038,205.8885,215.92175,yeah ours were ours were different i guess it seemed like th[ey]- they were much there was much more casual dress although [laughter-i] don't think everybody looked at that you know as a good thing ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
38,sw2001A-ms98-a-0039,215.92175,217.503375,right ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
40,sw2001A-ms98-a-0041,219.676,222.422375,that's [laughter-that's] [laughter-right] ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
42,sw2001A-ms98-a-0043,228.216125,229.67725,yeah ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
43,sw2001A-ms98-a-0044,229.67725,231.687875,yeah and ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
44,sw2001A-ms98-a-0045,231.687875,233.610125,that's right ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",backchannel
46,sw2001A-ms98-a-0047,234.646625,239.418375,yeah that's true and um hm [noise] well that's it ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
47,sw2001A-ms98-a-0048,239.418375,243.81975,yeah [laughter] i don't know what el[se]- what more we can say about that that's ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",statement_opinion
48,sw2001A-ms98-a-0049,243.81975,250.9845,oh it's been nice talking to you and i guess we just hang up huh okay all right nice talking to you bye-bye ,"{'directive': 0, 'sum': 0, 'wh_q': 0, 'hold': 0, 'commit': 0, 'maybe': 0, 'statement': 0, 'open_q': 0, 'opinion': 0, 'yn_q': 0, 'open': 0, 'uninterp': 0, 'repeat_q': 0, 'neg': 0, 'backchannel_q': 0, 'thank': 1, 'yes': 0, 'apprec': 0, 'yn_decl_q': 0, 'affirm': 0, 'tag_q': 0, 'excluded': 0, 'downplay': 0, 'or': 0, 'ans_dispref': 0, 'completion': 0, 'self_talk': 0, 'rhet_q': 0, 'decl_q': 0, 'repeat': 0, 'backchannel': 0, 'hedge': 0, 'apology': 0, 'other': 0, 'agree': 0, 'close': 0, 'answer': 0, 'quote': 0, 'reject': 0, 'third_pty': 0, 'acknowledge': 0, 'abandon': 0, 'no': 0}",other
